Store,Dept,Date,Weekly_sales,Isholiday,Type,Size,Temperature,Fuel_price,Cpi,Unemployment,Month,Day,Year
24,5,2010-02-12,37203.4,1,A,203819,25.94,2.94,131.5866129,8.326,February,12,2010
23,46,2010-02-12,34803.69,1,B,114533,18.75,2.771,131.5866129,5.892,February,12,2010
20,94,2010-03-05,55829.57,0,A,203742,31.75,2.777,204.4940734,8.187,March,5,2010
38,16,2010-03-12,740.85,0,C,39690,50.11,2.925,126.6042857,13.975,March,12,2010
7,28,2010-03-26,238.54,0,B,70713,23.33,2.717,189.7195417,9.014,March,26,2010
31,4,2010-04-02,31320.61,0,A,203750,64.12,2.719,210.4798874,8.2,April,2,2010
29,34,2010-04-09,18403.5,0,B,93638,57.06,2.849,131.9408065,10.16,April,9,2010
5,58,2010-04-16,445.0,0,B,34875,65.3,2.808,211.0388528,6.465,April,16,2010
22,33,2010-04-16,7074.0,0,B,119557,51.14,2.885,135.82725,8.348,April,16,2010
16,24,2010-04-23,910.64,0,B,57197,44.9,2.776,189.6190057,6.842,April,23,2010
22,25,2010-04-30,9600.98,0,B,119557,50.96,2.935,135.9170833,8.348,April,30,2010
42,92,2010-05-07,89639.63,0,C,39690,71.06,3.127,126.2898,9.524,May,7,2010
34,5,2010-05-14,14600.48,0,A,158114,60.74,2.845,126.2085484,9.593,May,14,2010
1,32,2010-05-21,6472.63,0,A,151315,76.44,2.826,210.6170934,7.808,May,21,2010
33,94,2010-06-04,38756.1,0,A,39690,86.06,2.941,126.1360645,9.849,June,4,2010
10,87,2010-06-04,19530.92,0,B,126512,82.82,2.941,126.1360645,9.524,June,4,2010
45,29,2010-06-18,4213.0,0,B,118221,72.62,2.78,182.4424199,8.899,June,18,2010
14,42,2010-06-25,8577.76,0,A,200898,79.32,2.808,182.3806,8.899,June,25,2010
2,24,2010-06-25,6341.13,0,A,202307,86.26,2.653,210.9950134,8.2,June,25,2010
13,79,2010-07-09,55230.92,0,A,219622,71.33,2.802,126.1518,7.951,July,9,2010
23,24,2010-07-30,8872.94,0,B,114533,69.71,2.792,132.5983871,5.326,July,30,2010
37,3,2010-08-06,935.8,0,C,39910,85.49,2.627,210.2614925,8.36,August,6,2010
16,16,2010-08-27,6947.14,0,B,57197,65.66,2.731,190.3284922,6.868,August,27,2010
43,6,2010-09-17,39.48,0,C,41062,78.86,2.582,203.4499286,9.816,September,17,2010
33,20,2010-09-17,53.0,0,A,39690,89.43,3.028,126.1454667,9.495,September,17,2010
7,91,2010-10-01,8274.46,0,B,70713,49.99,2.759,190.6738241,9.137,October,1,2010
5,71,2010-10-08,539.28,0,B,34875,64.99,2.633,212.3019522,6.768,October,8,2010
14,13,2010-10-22,61742.38,0,A,200898,53.15,2.917,182.8558685,8.724,October,22,2010
31,67,2010-10-29,5832.22,0,A,203750,67.51,2.716,211.5661131,8.163,October,29,2010
10,13,2010-10-29,60782.29,0,B,126512,68.76,3.13,126.4364194,9.003,October,29,2010
15,28,2010-11-19,971.74,0,B,123737,44.1,3.138,132.9172,8.067,November,19,2010
12,95,2010-11-26,36846.78,1,B,112238,47.66,3.162,126.6692667,14.313,November,26,2010
41,32,2010-11-26,5733.58,1,A,196321,25.3,2.742,191.0121805,7.508,November,26,2010
2,71,2010-11-26,8996.62,1,A,202307,62.98,2.735,211.4062867,8.163,November,26,2010
28,82,2010-11-26,20686.32,1,A,206302,47.66,3.162,126.6692667,14.313,November,26,2010
25,87,2010-11-26,6284.71,1,B,128107,43.43,3.039,204.9621,7.484,November,26,2010
3,92,2010-12-03,6909.19,0,B,37392,53.76,2.708,214.9153531,7.564,December,3,2010
40,96,2011-01-07,9610.74,0,A,155083,24.05,3.193,132.8823226,5.114,January,7,2011
17,56,2011-03-11,1239.66,0,B,93188,32.42,3.346,128.3995,6.866,March,11,2011
12,10,2011-03-18,20017.59,0,B,112238,64.21,3.692,128.5121935,14.021,March,18,2011
1,74,2011-03-18,11361.36,0,A,151315,62.76,3.488,214.3627114,7.742,March,18,2011
5,79,2011-04-01,5877.34,0,B,34875,61.5,3.524,215.4024406,6.489,April,1,2011
41,18,2011-04-01,2212.78,0,A,196321,38.16,3.461,192.2691707,6.934,April,1,2011
28,58,2011-04-01,2813.0,0,A,206302,63.63,3.772,128.7199355,13.736,April,1,2011
16,30,2011-04-08,1461.5,0,B,57197,38.04,3.532,192.3418571,6.339,April,8,2011
26,25,2011-04-29,7176.97,0,A,152513,47.17,3.988,134.4357333,7.818,April,29,2011
1,28,2011-04-29,646.18,0,A,151315,72.03,3.81,215.6279544,7.682,April,29,2011
33,13,2011-07-01,6211.67,0,A,39690,98.43,3.842,129.0894,8.442,July,1,2011
22,10,2011-07-15,21691.03,0,B,119557,75.2,3.827,139.7006325,8.023,July,15,2011
6,21,2011-08-12,8066.11,0,A,202505,90.49,3.638,217.1438281,6.925,August,12,2011
34,91,2011-08-12,36727.09,0,A,158114,80.23,3.617,129.2015806,10.641,August,12,2011
11,74,2011-08-19,26893.05,0,A,207499,89.51,3.554,219.023271,7.567,August,19,2011
24,81,2011-08-19,24723.03,0,A,203819,69.93,3.942,136.183129,8.358,August,19,2011
17,40,2011-08-19,41118.18,0,B,93188,67.59,3.578,129.2405806,6.745,August,19,2011
31,13,2011-09-16,42199.07,0,A,203750,80.62,3.526,215.6944378,7.852,September,16,2011
9,71,2011-09-23,1088.79,0,B,125833,74.42,3.467,219.9746423,6.404,September,23,2011
22,32,2011-09-30,4337.46,0,B,119557,69.78,3.684,140.381,8.023,September,30,2011
41,8,2011-09-30,31811.41,0,A,196321,61.77,3.538,194.8779718,6.901,September,30,2011
26,19,2011-11-04,1316.78,0,A,152513,31.7,3.586,136.475129,7.598,November,4,2011
22,42,2011-11-11,8309.68,0,B,119557,47.8,3.57,140.4111613,7.706,November,11,2011
22,3,2011-11-11,7757.55,0,B,119557,47.8,3.57,140.4111613,7.706,November,11,2011
26,38,2011-11-18,101540.61,0,A,152513,37.78,3.571,136.4666667,7.598,November,18,2011
13,48,2011-11-25,3979.0,1,A,219622,38.89,3.445,129.8364,6.392,November,25,2011
13,98,2011-12-02,13736.06,0,A,219622,33.94,3.389,129.8459667,6.392,December,2,2011
19,97,2011-12-02,16892.45,0,A,203819,45.67,3.666,136.4909333,7.866,December,2,2011
26,40,2012-01-06,37460.11,0,A,152513,22.94,3.439,136.698129,7.467,January,6,2012
18,2,2012-01-13,56312.31,0,B,120653,35.25,3.523,136.753,8.075,January,13,2012
37,4,2012-01-13,18515.1,0,C,39910,56.28,3.261,218.5823389,7.244,January,13,2012
34,60,2012-01-20,88.0,0,A,158114,39.28,3.273,130.2792258,9.653,January,20,2012
16,80,2012-01-20,958.18,0,B,57197,29.3,3.055,196.7796652,6.162,January,20,2012
13,12,2012-02-03,6255.07,0,A,219622,31.39,3.077,130.3496774,6.104,February,3,2012
37,56,2012-02-10,485.21,1,C,39910,54.49,3.409,218.9551002,7.244,February,10,2012
10,49,2012-02-10,24184.66,1,B,126512,55.73,3.722,130.3849032,7.545,February,10,2012
11,25,2012-02-17,13558.89,0,A,207499,52.77,3.51,223.9170153,6.833,February,17,2012
34,31,2012-03-02,868.77,0,A,158114,42.74,3.619,130.6457931,9.653,March,2,2012
43,98,2012-03-16,9229.8,0,C,41062,57.88,3.734,212.6651567,9.653,March,16,2012
7,7,2012-03-16,9325.0,0,B,70713,37.29,3.486,197.0457208,8.256,March,16,2012
11,94,2012-03-16,35645.47,0,A,207499,64.21,3.734,224.7166953,6.833,March,16,2012
31,2,2012-03-16,58054.17,0,A,203750,63.39,3.734,220.8498468,7.057,March,16,2012
24,56,2012-03-30,7130.16,0,A,203819,47.28,4.098,137.7261935,8.659,March,30,2012
22,16,2012-03-30,17763.39,0,B,119557,46.4,3.921,141.6990864,7.503,March,30,2012
33,82,2012-04-06,4053.72,0,A,39690,70.75,4.282,131.0375484,7.396,April,6,2012
31,83,2012-04-20,9749.05,0,A,203750,66.97,3.877,221.2021074,6.891,April,20,2012
36,74,2012-04-27,617.72,0,A,39910,70.06,3.888,220.3014485,6.989,April,27,2012
29,35,2012-05-11,2623.32,0,B,93638,56.72,3.947,138.0882667,9.14,May,11,2012
35,13,2012-05-18,28980.4,0,B,103681,65.15,3.848,142.0970115,8.876,May,18,2012
44,23,2012-05-25,23.41,0,C,39910,62.39,3.801,131.0287742,5.621,May,25,2012
6,48,2012-05-25,1063.0,0,A,202505,78.47,3.561,223.3525662,5.964,May,25,2012
6,27,2012-05-25,1476.96,0,A,202505,78.47,3.561,223.3525662,5.964,May,25,2012
25,59,2012-06-15,170.75,0,B,128107,68.34,3.62,214.5653243,7.139,June,15,2012
39,46,2012-06-22,41582.92,0,A,184109,79.84,3.346,220.4886472,6.989,June,22,2012
41,40,2012-08-03,59830.4,0,A,196321,73.16,3.528,198.0293893,6.432,August,3,2012
15,81,2012-08-17,4123.24,0,B,123737,70.29,3.963,138.1857097,8.193,August,17,2012
12,46,2012-08-24,34582.86,0,B,112238,85.32,4.055,130.8381613,10.926,August,24,2012
27,31,2012-09-14,3160.13,0,A,204184,68.72,4.088,142.5938833,8.239,September,14,2012
34,48,2012-09-14,2906.0,0,A,158114,64.28,3.706,130.9776667,9.285,September,14,2012
14,67,2012-09-21,9666.25,0,A,200898,65.32,4.038,191.8567038,8.684,September,21,2012
15,24,2012-10-19,5113.91,0,B,123737,52.89,4.153,138.8336129,7.992,October,19,2012
31,87,2012-10-26,13224.92,0,A,203750,70.5,3.506,223.0783366,6.17,October,26,2012
21,12,2012-10-26,2475.61,0,B,140167,70.5,3.506,223.0783366,6.17,October,26,2012
